Name,Numerology,Element,Astrology,Chakra,Upright,Reversed,Valence,Temporality (assigned by Claude),Confidence,Description
The Fool,0,Air,Aquarius,Crown,"New beginnings, Risks, Spontaneity","Recklessness, Naivety, Poor judgement",Upright,Future,5,"The card of new beginnings, innocent trust, and the courage to step into the unknown."
The Magician,1,Air,Gemini,Throat,"Personal power, Manifestation, Skill","Manipulation, Trickery, Poor focus",Upright,Present,4,"The card of personal power, manifestation mastery, and turning ideas into reality."
The High Priestess,2,Water,Cancer,Third Eye,"Hidden knowledge, Intuition, Inner wisdom","Overthinking, Disconnect, Superficiality",Upright,Subconscious,3,"The card of intuitive wisdom, hidden knowledge, and the mysteries that lie beyond surface understanding."
The Empress,3,Earth,Taurus,Heart,"Fertility, Abundance, Nurture","Insecurity, Self-Neglect, Imbalance",Upright,Present,3,"The card of fertility, abundance, and the creative power of the divine feminine."
The Emperor,4,Fire,Aries,Solar Plexus,"Authority, Structure, Leadership","Tyranny, Control issues, Rigidity",Upright,Present,3,"The card of leadership, authority, and the power to create stability through structure and discipline."
The Heirophant,5,Earth,Taurus,Throat,"Sacred knowledge, Mentorship, Spiritual authority","Dogma, Questioning authority, Outdated teaching",Upright,Past,5,"The card of spiritual wisdom, traditional teachings, and sacred knowledge."
The Lovers,6,Air,Gemini,Heart,"Aligned partnership, Conscious choice, Chemistry","Fractured intimacy, Temptation, Conflicting values",Upright,Present,3,"The card of divine love, meaningful choices, and authentic connection."
The Chariot,7,Water,Cancer,Solar Plexus,"Victory, Willpower, Determination","Lack of direction, Losing control, Scattered energy",Upright,Present,4,"The card of victory, determination, and controlled forward movement."
Strength,8,Fire,Leo,Heart,"Inner strength, Courage, Compassion","Self-doubt, Lack of confidence, Harsh force",Upright,Present,3,"The card of inner courage, gentle power, and compassion over force."
The Hermit,9,Earth,Virgo,Third Eye,"Inner wisdom, Soul searching, Guidance","Isolation, Refusing guidance, Avoidance",Upright,Subconscious,4,"The card of sacred solitude, truth, and guidance from within."
Wheel of Fortune,10,Fire,Jupiter,Crown,"Cycles, Destiny, Good fortune","Bad luck, Lack of control, Resistance",Upright,Future,5,"The card of destiny, cycles, and life's turning points."
Justice,11,Air,Libra,Heart,"Truth, Fairness, Accountability","Injustice, Bias, Avoiding responsibility",Upright,Present,3,"The card of truth, fairness, and karmic balance."
The Hanged Man,12,Water,Neptune,Third Eye,"Sacrifice, Waiting, Perspective","Stalling, Disinterest, Delays",Upright,Subconscious,4,"True clarity comes not from action, but from surrender, stillness, and seeing life from a new perspective."
Death,13,Air,Libra,Heart,"Transformation, Endings, Renewal","Resistance to change, Stagnation, Fear",Upright,Future,4,"The card of transformation, endings, and rebirth."
Temperance,14,Fire,Sagittarius,Heart,"Balance and harmony, Moderation, Healing","Imbalance and excess, Impatience, Disharmony",Upright,Future,3,"The card of balance, healing moderation, and the wisdom that comes from integrating opposing forces into harmonious unity."
The Devil,15,Earth,Capricorn,Root,"Bondage, Addiction, Shadow work","Breaking free, Releasing addictions, Spiritual liberation",Reversed,Subconscious,5,The card of shadow work and breaking free from self-imposed chains.
The Tower,16,Fire,Mars,"Root, Crown","Awakening, Liberation, False structure collapse","Avoiding change, Resisting breakdown, Destruction",Upright,Future,4,"The card of sudden awakening, necessary destruction, and the liberation that comes when false structures collapse to make space for authentic truth."
The Star,17,Air,Aquarius,Crown,"Sacred alignment, Emotional renewal, Divine support","Disconnection, Loss of direction, Blocked inspiration",Upright,Future,5,"The card of hope returned, soul healing, and trust in what still calls you forward."
The Moon,18,Water,Pisces,Third Eye,"Intuition over logic, Uncertainty, Illusion","Distorted perception, Anxiety, Escaping illusion",Upright,Subconscious,5,"The card of instinct, illusion, and the quiet intelligence of the unconscious."
The Sun,19,Fire,Sun,Solar Plexus,"Joy, Success, Vitality","Setbacks, Delayed joy, Inner child woundings",Upright,Present,4,"The card of pure joy, radiant success, childlike wonder, and enlightened consciousness."
Judgement,20,Fire,Pluto,Crown,"Spiritual awakening, Rebirth, Calling","Self-doubt, Avoiding calling, Harsh self-judgement",Upright,Future,5,The card of spiritual awakening and answering your true calling.
The World,21,Earth,Saturn,Crown,"Completion, Wholeness, Successful accomplishment","Incomplete, Lack of closure, Seeking validation",Upright,Past,5,"The card of wholeness, completion, and the integration of all you’ve become."
Ace of Cups,1,Water,Cancer,Heart,"New love, Emotional awakening, Feelings","Blocks, Disconnect, Supressed feelings",Upright,Future,5,"The card of emotional beginnings, overflowing love, and divine inspiration."
Two of Cups,2,Water,Libra,Heart,"Partnership, Mutual attraction, Harmony","Imbalance, Emotional disconnect, Conflict",Upright,Present,3,"The card of partnership, mutual attraction, and emotional harmony."
Three of Cups,3,Water,Gemini,Heart,"Celebration, Friendship, Community","Isolation, Fake friends, Group conflict",Upright,Present,4,"The card of celebration, friendship, and joyful community."
Four of Cups,4,Water,Pisces,Heart,"Withdrawal, Apathy, Introspection","Renewal, Motivation, New possibilities",Reversed,Subconscious,3,"The card of emotional withdrawal, contemplation, and overlooked opportunities."
Five of Cups,5,Water,Scorpio,Heart,"Loss, Grief, Disappointment","Recovery, Acceptance, Moving forward",Reversed,Past,5,"The card of loss, grief, and the difficult journey toward acceptance."
Six of Cups,6,Water,Scorpio,Heart,"Nostalgia, Childhood, Innocence","Childhood wounds, Regression, Stuck",Upright,Past,5,"The card of nostalgia, innocent joy, and meaningful connections to the past."
Seven of Cups,7,Water,Scorpio,Third Eye,"Ilusions, Scattered focus, Indecision","Clarity, Alignment, Decisiveness",Reversed,Subconscious,3,"The card of illusion, distraction, and high risk choices."
Eight of Cups,8,Water,Pisces,Crown,"Withdrawal, Abandonment, Walking away","Comfort zone, Avoiding growth, Aimlessness",Neutral,Future,5,"The card of walking away, spiritual pilgrimage, and the courage to seek something deeper."
Nine of Cups,9,Water,Pisces,Heart,"Contentment, Satisfaction, Wishes granted","Empty sucess, Smugness, Overindulgence",Upright,Past,3,"The card of deep contentment, quiet confidence, and fulfillment without performance."
Ten of Cups,10,Water,Pisces,Heart,"Emotional fulfillment, harmony, safety","Discord, Broken relationships, Strain",Upright,Present,3,"The card of shared joy, emotional legacy, and love that roots itself in connection."
Page of Cups,11,Water,Cancer,Heart,"Creative spark, Emotional beginnings, Intuition","Immaturity, Blocked creativity, Oversensitivity",Upright,Future,5,"The card of emotional openness, intuitive curiosity, and tender beginnings."
Knight of Cups,12,Water,"Pisces, Cancer, Scorpio",Heart,"Romance, Charm, Idealism","Moodiness, Unrealistic expectations, Jealousy",Upright,Future,3,"The card of passionate action, bold adventures, dynamic energy, and fearless pursuit."
Queen of Cups,14,Water,"Cancer, Scorpio, Pisces",Sacral,"Emotional wisdom, Intuitive depth, Compassion","Overwhelm, Blurred boundaries, Manipulative care",Upright,Present,3,"The card of emotional clarity, deep listening, and intuitive presence."
