Run,Average Numerology,Error Level,Major Element,Positivity Score,Correct Guess,Adjusted Guess
1,10.4,2.08,Earth,0.2,0.0,-0.26666666666666666
2,5.8,1.16,Air,0.0,0.0,-0.27999999999999997
3,9.0,1.8,Fire,0.4,0.2,0.24000000000000007
4,9.0,1.8,Air,0.0,0.2,0.21333333333333343
5,7.2,1.44,Earth,0.6,0.0,-0.29333333333333333
6,9.2,1.8399999999999999,Water,0.4,0.4,0.7333333333333333
7,11.2,2.2399999999999998,Air,0.6,0.0,-0.24
8,9.8,1.9600000000000002,Fire,1.0,0.0,-0.26666666666666666
9,10.4,2.08,Fire,0.6,0.2,0.18666666666666668
10,10.4,2.08,Fire,0.6,0.2,0.23999999999999994
11,8.6,1.72,Air,0.6,0.6,1.2266666666666668
12,9.6,1.92,Water,1.0,0.0,-0.26666666666666666
13,10.4,2.08,Fire,1.0,0.4,0.7200000000000001
14,12.6,2.52,Water,1.0,0.4,0.7733333333333332
15,9.2,1.8399999999999999,Fire,-1.0,0.4,0.7333333333333334
16,8.2,1.64,Air,1.0,0.2,0.24
17,6.8,1.3599999999999999,Air,0.6,0.2,0.22666666666666666
18,8.6,1.72,Air,0.6,0.6,1.28
19,4.8,0.96,Air,0.6,0.4,0.7066666666666667
20,7.2,1.44,Water,-0.6,0.2,0.28
21,10.0,2.0,Air,-0.8,0.4,0.7466666666666667
22,9.0,1.8,Fire,0.6,0.4,0.72
23,7.6,1.52,Water,0.6,0.0,-0.2533333333333333
24,6.4,1.28,Air,1.0,0.2,0.23999999999999994
25,10.2,2.04,Earth,1.0,0.2,0.2799999999999999
26,10.0,2.0,Water,0.2,0.6,1.2266666666666668
27,9.8,1.9600000000000002,Water,-0.6,0.4,0.7999999999999999
28,6.0,1.2,Fire,0.6,0.0,-0.2533333333333333
29,7.8,1.56,Air,0.4,0.2,0.22666666666666663
30,8.8,1.7600000000000002,Earth,1.0,0.6,1.24
31,7.2,1.44,Earth,0.2,0.4,0.8133333333333331
32,6.2,1.24,Earth,1.0,0.4,0.7333333333333334
33,7.2,1.44,Earth,0.6,0.2,0.29333333333333333
34,4.2,0.8400000000000001,Air,1.0,0.0,-0.26666666666666666
35,5.8,1.16,Fire,-1.0,0.0,-0.24
36,10.8,2.16,Fire,1.0,0.2,0.22666666666666674
37,7.6,1.52,Water,0.4,0.2,0.22666666666666663
38,8.4,1.6800000000000002,Air,-0.2,0.8,1.7733333333333334
39,6.6,1.3199999999999998,Earth,1.0,0.2,0.24000000000000005
40,6.0,1.2,Air,-0.2,0.0,-0.29333333333333333
41,7.8,1.56,Fire,0.6,0.4,0.7333333333333334
42,10.0,2.0,Fire,0.6,0.2,0.2533333333333333
43,5.4,1.08,Earth,0.6,0.0,-0.26666666666666666
44,8.6,1.72,Earth,0.6,0.2,0.2799999999999999
45,8.0,1.6,Air,0.2,0.6,1.2799999999999998
46,12.0,2.4,Fire,0.6,0.0,-0.24
47,6.2,1.24,Water,0.4,0.0,-0.26666666666666666
48,7.8,1.56,Air,-0.6,0.2,0.2666666666666666
49,10.0,2.0,Water,0.4,0.2,0.2533333333333333
50,11.8,2.3600000000000003,Water,0.6,0.2,0.25333333333333335
51,9.6,1.92,Earth,0.6,0.4,0.7733333333333332
52,9.6,1.92,Water,0.4,0.4,0.7333333333333335
53,8.8,1.7600000000000002,Fire,1.0,0.0,-0.29333333333333333
54,7.8,1.56,Earth,0.6,0.0,-0.29333333333333333
55,8.6,1.72,Fire,0.6,0.2,0.2266666666666667
56,7.0,1.4,Water,0.6,0.2,0.2666666666666667
57,6.0,1.2,Air,0.6,0.0,-0.21333333333333332
58,6.6,1.3199999999999998,Water,-1.0,0.2,0.21333333333333337
59,9.6,1.92,Water,1.0,0.4,0.7733333333333333
60,6.6,1.3199999999999998,Earth,1.0,0.2,0.25333333333333335
61,5.2,1.04,Air,0.8,0.2,0.20000000000000004
62,9.8,1.9600000000000002,Air,1.0,0.2,0.2533333333333333
63,6.6,1.3199999999999998,Fire,1.0,0.4,0.7733333333333332
64,7.4,1.48,Fire,0.2,0.4,0.7466666666666666
65,3.8,0.76,Water,1.0,0.0,-0.2533333333333333
66,13.0,2.6,Earth,1.0,0.2,0.2666666666666667
67,7.6,1.52,Water,0.6,0.2,0.27999999999999997
68,10.0,2.0,Air,0.0,0.2,0.1866666666666667
69,7.0,1.4,Earth,1.0,0.0,-0.21333333333333332
70,7.8,1.56,Water,0.6,0.4,0.7066666666666668
71,6.0,1.2,Air,1.0,0.4,0.76
72,7.2,1.44,Air,-0.2,0.0,-0.26666666666666666
73,8.0,1.6,Earth,0.8,0.2,0.21333333333333343
74,11.6,2.32,Fire,-0.6,0.0,-0.26666666666666666
75,8.8,1.7600000000000002,Earth,0.0,0.2,0.29333333333333333
76,4.6,0.9199999999999999,Air,-0.4,0.2,0.2799999999999999
77,8.6,1.72,Earth,-0.6,0.2,0.24000000000000005
78,7.6,1.52,Fire,1.0,0.4,0.7999999999999999
79,5.8,1.16,Water,0.6,0.2,0.21333333333333343
80,8.4,1.6800000000000002,Air,0.2,0.4,0.7866666666666666
81,10.8,2.16,Earth,1.0,0.4,0.6933333333333334
82,5.0,1.0,Earth,0.6,0.6,1.2533333333333332
83,8.0,1.6,Earth,1.0,0.2,0.27999999999999997
84,8.4,1.6800000000000002,Water,-0.2,0.4,0.7199999999999999
85,8.6,1.72,Air,0.4,0.6,1.2266666666666668
86,8.4,1.6800000000000002,Fire,1.0,0.2,0.20000000000000004
87,6.6,1.3199999999999998,Air,0.4,0.2,0.2666666666666667
88,6.0,1.2,Fire,0.2,0.0,-0.26666666666666666
89,7.0,1.4,Water,0.4,0.2,0.21333333333333332
90,5.2,1.04,Water,1.0,0.0,-0.26666666666666666
91,7.6,1.52,Water,0.6,0.4,0.7733333333333332
92,10.2,2.04,Earth,1.0,0.2,0.26666666666666666
93,7.4,1.48,Earth,0.6,0.0,-0.22666666666666666
94,5.4,1.08,Earth,0.2,0.6,1.2799999999999998
95,10.4,2.08,Air,0.2,0.4,0.7466666666666667
96,11.8,2.3600000000000003,Air,0.4,0.0,-0.26666666666666666
97,7.2,1.44,Earth,1.0,0.0,-0.2
98,6.4,1.28,Earth,1.0,0.2,0.21333333333333337
99,8.6,1.72,Fire,1.0,0.4,0.7333333333333332
100,7.8,1.56,Fire,1.0,0.4,0.76
101,4.6,0.9199999999999999,Earth,0.4,0.4,0.7333333333333334
102,7.4,1.48,Fire,-0.2,0.2,0.25333333333333335
103,7.4,1.48,Water,0.6,0.0,-0.26666666666666666
104,6.0,1.2,Earth,0.6,0.2,0.2666666666666667
105,10.2,2.04,Fire,1.0,0.2,0.21333333333333343
106,9.6,1.92,Water,0.6,0.2,0.24
107,7.6,1.52,Water,0.4,0.6,1.2399999999999998
108,9.6,1.92,Fire,0.6,0.2,0.25333333333333335
109,11.8,2.3600000000000003,Air,-0.6,0.2,0.22666666666666674
110,4.4,0.8800000000000001,Air,1.0,0.2,0.24000000000000007
111,10.2,2.04,Fire,0.6,0.2,0.20000000000000004
112,11.2,2.2399999999999998,Water,0.6,0.0,-0.22666666666666666
113,9.8,1.9600000000000002,Air,0.6,0.4,0.7866666666666665
114,8.8,1.7600000000000002,Earth,0.6,0.2,0.24
115,9.2,1.8399999999999999,Fire,0.6,0.4,0.76
116,11.4,2.2800000000000002,Fire,0.4,0.6,1.2799999999999998
117,6.8,1.3599999999999999,Air,-0.6,0.4,0.7466666666666667
118,7.0,1.4,Water,0.2,0.4,0.7333333333333334
119,9.2,1.8399999999999999,Fire,0.6,0.2,0.22666666666666674
120,6.2,1.24,Air,0.2,0.6,1.24
121,9.2,1.8399999999999999,Earth,0.6,0.4,0.7066666666666668
122,7.8,1.56,Water,0.2,0.0,-0.24
123,7.6,1.52,Water,-0.2,0.2,0.28
124,8.2,1.64,Water,-0.2,0.6,1.2666666666666666
125,7.6,1.52,Water,0.4,0.2,0.2533333333333334
126,8.2,1.64,Fire,1.0,0.0,-0.2533333333333333
127,11.6,2.32,Water,-0.2,0.2,0.24000000000000007
128,7.6,1.52,Fire,0.8,0.2,0.2666666666666667
129,6.2,1.24,Water,0.6,0.4,0.7333333333333333
130,9.8,1.9600000000000002,Water,1.0,0.2,0.25333333333333335
131,7.4,1.48,Earth,0.6,0.2,0.2266666666666667
132,6.8,1.3599999999999999,Earth,0.6,0.2,0.27999999999999997
133,7.8,1.56,Air,0.2,0.2,0.2799999999999999
